tick_ts_utc,timeframe,regime,leverage,candle_open_time,candle_close_time,execution_candle_open,btc_close,vol_pred,vol_decile,n_candidates_initial,n_in_band,p_win_max,p_win_min,EV_max,prob_band_min,prob_band_max,decision,reason_no_signal,winner_side,winner_candidate_id,winner_p_win_calibrated,winner_EV_pred,winner_tp_pct,winner_sl_pct,winner_tp_mult,winner_sl_mult,winner_H,winner_p_break_even,winner_edge_over_be,signal_id,position_id,entry_price,entry_price_quality,dry_run,mode
2026-07-02T03:02:04.913413+00:00,15m,lateral,5.0,2026-07-02T02:45:00,2026-07-02T03:00:00+00:00,2026-07-02T03:00:00+00:00,60353.88,0.003498055560768786,5,10,0,0.49741852283477783,0.3067810535430908,-0.00039455411290882365,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T03:02:04.913413+00:00,1h,lateral,3.0,2026-07-02T02:45:00,2026-07-02T03:00:00+00:00,2026-07-02T03:00:00+00:00,60353.88,0.008862640155505409,6,10,0,0.46900269389152527,0.40343916416168213,5.6541441843785964e-05,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T03:06:31.371388+00:00,15m,lateral,5.0,2026-07-02T02:45:00,2026-07-02T03:00:00+00:00,2026-07-02T03:00:00+00:00,60353.88,0.003498055560768786,5,10,0,0.49741852283477783,0.3067810535430908,-0.00039455411290882365,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T03:06:31.371388+00:00,1h,lateral,3.0,2026-07-02T02:45:00,2026-07-02T03:00:00+00:00,2026-07-02T03:00:00+00:00,60353.88,0.008862640155505409,6,10,0,0.46900269389152527,0.40343916416168213,5.6541441843785964e-05,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T03:11:41.729071+00:00,15m,lateral,5.0,2026-07-02T02:45:00,2026-07-02T03:00:00+00:00,2026-07-02T03:00:00+00:00,60353.88,0.003498055560768786,5,10,0,0.49741852283477783,0.3067810535430908,-0.00039455411290882365,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T03:11:41.729071+00:00,1h,lateral,3.0,2026-07-02T02:45:00,2026-07-02T03:00:00+00:00,2026-07-02T03:00:00+00:00,60353.88,0.008862640155505409,6,10,0,0.46900269389152527,0.40343916416168213,5.6541441843785964e-05,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T03:16:38.390710+00:00,15m,lateral,5.0,2026-07-02T03:00:00,2026-07-02T03:15:00+00:00,2026-07-02T03:15:00+00:00,60412.11,0.003313962988973905,5,10,0,0.48953595757484436,0.3067810535430908,-0.0005144048014202763,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T03:16:38.390710+00:00,1h,lateral,3.0,2026-07-02T03:00:00,2026-07-02T03:00:00+00:00,2026-07-02T03:00:00+00:00,60412.11,0.008167634765164184,6,10,0,0.49194955825805664,0.40547946095466614,-0.000623409109016818,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T03:21:43.800742+00:00,15m,lateral,5.0,2026-07-02T03:00:00,2026-07-02T03:15:00+00:00,2026-07-02T03:15:00+00:00,60412.11,0.003313962988973905,5,10,0,0.48953595757484436,0.3067810535430908,-0.0005144048014202763,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T03:21:43.800742+00:00,1h,lateral,3.0,2026-07-02T03:00:00,2026-07-02T03:00:00+00:00,2026-07-02T03:00:00+00:00,60412.11,0.008167634765164184,6,10,0,0.49194955825805664,0.40547946095466614,-0.000623409109016818,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T03:26:38.500388+00:00,15m,lateral,5.0,2026-07-02T03:00:00,2026-07-02T03:15:00+00:00,2026-07-02T03:15:00+00:00,60412.11,0.003313962988973905,5,10,0,0.48953595757484436,0.3067810535430908,-0.0005144048014202763,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T03:26:38.500388+00:00,1h,lateral,3.0,2026-07-02T03:00:00,2026-07-02T03:00:00+00:00,2026-07-02T03:00:00+00:00,60412.11,0.008167634765164184,6,10,0,0.49194955825805664,0.40547946095466614,-0.000623409109016818,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T03:31:52.658962+00:00,15m,lateral,5.0,2026-07-02T03:15:00,2026-07-02T03:30:00+00:00,2026-07-02T03:30:00+00:00,60481.14,0.0036590492982236074,5,10,0,0.49741852283477783,0.3242320716381073,-0.00039455411290882365,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T03:31:52.658962+00:00,1h,lateral,3.0,2026-07-02T03:15:00,2026-07-02T03:00:00+00:00,2026-07-02T03:00:00+00:00,60481.14,0.008679281020323538,6,10,0,0.46900269389152527,0.3813447654247284,5.6541441843785964e-05,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
